id,label,definition status,definition,definition source,image status,image url,image provider,license
,,,,,,,,
,Sugar_confectionery,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Krokan.jpg/315px-Krokan.jpg,EuroCarGT,Public domain
,Confectionery,3,"Confectionery is the art of making confections, which are food items that are rich in sugar and carbohydrates. Exact definitions are difficult.",https://en.wikipedia.org/wiki/Confectionery,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Krokan.jpg/315px-Krokan.jpg,EuroCarGT,Public domain
,Italian_desserts,1,,,1,,,
,Ice_cream,3,"Ice cream (derived from earlier iced cream or cream ice) is a sweetened frozen food typically eaten as a snack or dessert. It may be made from dairy milk or cream and is flavoured with a sweetener, either sugar or an alternative, and any spice, such as cocoa or vanilla.",https://en.wikipedia.org/wiki/Ice_cream,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Ice_cream_with_whipped_cream%2C_chocolate_syrup%2C_and_a_wafer_%28cropped%29.jpg/489px-Ice_cream_with_whipped_cream%2C_chocolate_syrup%2C_and_a_wafer_%28cropped%29.jpg,Spudlace,Creative Commons Attribution-Share Alike 4.0
,Yogurts,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Cacik-1.jpg/640px-Cacik-1.jpg,Rainer Zenz,Creative Commons Attribution-Share Alike 3.0
,British_desserts,1,,,1,,,
,French_desserts,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/D%C3%A9lices_de_Paris.jpg/640px-D%C3%A9lices_de_Paris.jpg,FlickrLickr,Creative Commons Attribution 2.0
,Frozen_desserts,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/RaspberrySherbet.jpg/489px-RaspberrySherbet.jpg,Trlkly,Public domain
,Chocolate,3,"Chocolate is a preparation of roasted and ground cacao seeds that is made in the form of a liquid, paste, or in a block, which may also be used as a flavoring ingredient in other foods. The earliest signs of use are associated with Olmec sites (within what would become Mexico’s post-colonial territory) suggesting consumption of chocolate beverages, dating from 19 centuries BCE. The majority of Mesoamerican people made chocolate beverages, including the Maya and Aztecs.",https://en.wikipedia.org/wiki/Chocolate,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Chocolate_%28blue_background%29.jpg/640px-Chocolate_%28blue_background%29.jpg,Nagualdesign,Creative Commons Attribution-Share Alike 3.0
,Sugar_confectionery,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Krokan.jpg/315px-Krokan.jpg,EuroCarGT,Public domain
,Health,3,"Health is a state of physical, mental and social well-being in which disease and infirmity are absent.   == History == The meaning of health has evolved over time.",https://en.wikipedia.org/wiki/Health,1,,,
,German_cuisine,3,"The cuisine of Germany is made up of many different local or regional cuisines, as is typical for somewhat larger countries. Germany itself is part of a larger cultural region, Central Europe, sharing many traditions with neighbouring countries such as Poland and the Czech Republic.",https://en.wikipedia.org/wiki/German_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/German_Bratw%C3%BCrste.jpg/591px-German_Bratw%C3%BCrste.jpg,Hornymanatee,Creative Commons Attribution-Share Alike 3.0
,French_cuisine,3,"French cuisine consists of the cooking traditions and practices from France. French cuisine developed throughout the centuries influenced by the many surrounding cultures of Spain, Italy, Switzerland, Germany and Belgium, in addition to its own food traditions on the long western coastlines of the Atlantic, the Channel and of course inland.",https://en.wikipedia.org/wiki/French_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Jacques_Lameloise%2C_escab%C3%A8che_d%27%C3%A9crevisses_sur_gaspacho_d%27asperge_et_cresson.jpg/640px-Jacques_Lameloise%2C_escab%C3%A8che_d%27%C3%A9crevisses_sur_gaspacho_d%27asperge_et_cresson.jpg,Arnaud 25,Creative Commons Attribution-Share Alike 3.0
,Dairy_products,1,,,3,https://upload.wikimedia.org/wikipedia/commons/0/0e/Milk_glass.jpg,Doc James,Creative Commons Attribution-Share Alike 3.0
,Drinks,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Nice_Cup_of_Tea.jpg/640px-Nice_Cup_of_Tea.jpg,Vanderdecken,Public domain
,American_cuisine,3,"American cuisine reflects the history of the United States, blending the culinary contributions of various groups of people from around the world, including indigenous American Indians, African Americans, Asians, Europeans, Pacific Islanders, and Latin Americans. Though much of American cuisine is fusion cuisine reflecting global cuisine, many regional cuisines have deeply rooted ethnic heritages, including Cajun, Louisiana Creole, Native American, New Mexican, Pennsylvania Dutch, Soul food, and Tlingit.",https://en.wikipedia.org/wiki/American_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Motherhood_and_apple_pie.jpg/640px-Motherhood_and_apple_pie.jpg,Para,Public domain
,Vegetarianism,3,"Vegetarianism is the practice of abstaining from the consumption of meat (red meat, poultry, seafood, and the flesh of any other animal), and may also include abstention from by-products of animal slaughter.Vegetarianism may be adopted for various reasons. Many people object to eating meat out of respect for sentient life.",https://en.wikipedia.org/wiki/Vegetarianism,3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Soy-whey-protein-diet.jpg/640px-Soy-whey-protein-diet.jpg,Fountain Posters,Public domain
,Greek_cuisine,3,"Greek cuisine (Greek: Ελληνική κουζίνα, romanized: Elliniki kouzina) is a Mediterranean cuisine. Greek cookery makes wide use of vegetables, olive oil, grains, fish, and meat, including pork, poultry, veal and beef, lamb, rabbit, and goat,.",https://en.wikipedia.org/wiki/Greek_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Naxos_Taverna.jpg/640px-Naxos_Taverna.jpg,Moonshadow~commonswiki,Creative Commons Attribution-Share Alike 3.0
,Ukrainian_cuisine,3,Ukrainian cuisine is the collection of the various cooking traditions of the Ukrainian people accumulated over many years. The cuisine is heavily influenced by the rich dark soil (chornozem) from which its ingredients come and often involves many components.The national dish of Ukraine that undeniably originates from the country is borsch.,https://en.wikipedia.org/wiki/Ukrainian_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Ukrainian_Food_%28zaporizhzhya%29.jpg/640px-Ukrainian_Food_%28zaporizhzhya%29.jpg,Park1036,Creative Commons Attribution-Share Alike 3.0
,Condiments,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Salt%2C_sugar_and_pepper_shakers.jpg/640px-Salt%2C_sugar_and_pepper_shakers.jpg,Sandstein,Creative Commons Attribution-Share Alike 2.0
,Bulgarian_cuisine,3,"Bulgarian cuisine (Bulgarian: българска кухня, romanized: bǎlgarska kuhnja) is a representative of the Mediterranean cuisine of Southeast Europe. It shares characteristics with other Balkan cuisines.",https://en.wikipedia.org/wiki/Bulgarian_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Coat_of_arms_of_Bulgaria.svg/640px-Coat_of_arms_of_Bulgaria.svg.png,Пакко,Public domain
,Middle_Eastern_cuisine,3,"The cuisine of the Middle East is diverse while having a degree of homogeneity. It includes Arab, Iranian, Jewish, Assyrian, Azerbaijani, Armenian, Georgian, Kurdish, Cypriot and Turkish cuisines.",https://en.wikipedia.org/wiki/Middle_Eastern_cuisine,3,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Arabic_dish_hummus.jpg/640px-Arabic_dish_hummus.jpg,Amanthi,Creative Commons Attribution-Share Alike 4.0
,Desserts,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Desserts.jpg/421px-Desserts.jpg,Jean-Frédéric,Public domain
,Historical_foods,1,,,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Good_Food_Display_-_NCI_Visuals_Online.jpg/640px-Good_Food_Display_-_NCI_Visuals_Online.jpg,Lobo,Public domain
